model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d16384 (c5),636.8687929810822,2.7413707957515054,272.9400240346103,183.40064037431318,,,,,10298.339846660383,4529.824426809675,10296.491346651843,4529.824426809675,10298.339846660383,4529.824426809675
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d16384 (c5),30.059513262251613,1.7780224154845097,11.839815283504452,5.0048791604871505,109.66666666666667,12.684198393626966,28.866666666666667,6.270211763214665,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d16384 (c10),1974.144551176205,3.686746148227683,534.2648927718025,430.35525531941863,,,,,46504.580309999685,23618.60270440065,46502.73180999116,23618.602704400655,46504.61314666706,23618.551723098466
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d16384 (c10),13.828719422740866,1.1577337079603451,4.779789960849326,4.781666480207525,130.66666666666666,6.79869268479038,19.366666666666667,8.260279790795359,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d16384 (c10),638.5839424148821,1.8444828430100353,176.57310155269346,161.9153973291705,,,,,18249.25116666418,9046.748719576786,18247.40266665564,9046.748719576786,18249.25116666418,9046.748719576786
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d16384 (c10),28.291047130234393,1.82564297800641,6.088686639695978,2.456373956179441,130.33333333333334,6.847546194724712,20.5,3.8622100754188224,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d32768 (c1),1942.5177145719351,0.9141144367948225,1942.5177145719351,0.9141144367948225,,,,,16871.196466662997,7.940476820356488,16869.34796665446,7.940476820356488,16871.196466662997,7.940476820356488
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d32768 (c1),44.62674380749007,17.999513499339965,44.62674380749007,17.999513499339965,59.37667681976264,23.95435466933088,59.37667681976264,23.95435466933088,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d32768 (c1),598.3436888586201,2.4998477841696225,598.3436888586201,2.4998477841696225,,,,,3424.6900999957384,14.268621505498155,3422.841599987199,14.268621505498153,3424.6900999957384,14.268621505498155
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d32768 (c1),34.74656047498584,3.8259999166408303,34.74656047498584,3.8259999166408303,41.666666666666664,3.8586123009300755,41.666666666666664,3.8586123009300755,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d32768 (c2),1958.8678930320048,0.06300161678278308,1395.1747680188903,415.6836123658049,,,,,25777.32946666462,7679.640991765877,25775.48096665608,7679.640991765875,25777.32946666462,7679.640991765877
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d32768 (c2),11.509870036775936,1.306571171363656,18.221725431567357,11.91682439467981,64.0,4.320493798938574,36.666666666666664,3.636237371545238,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d32768 (c2),601.7937446012626,4.981908515251799,452.39491392402607,151.43745961675512,,,,,5100.240950006992,1707.0338787759968,5098.392449998452,1707.0338787759972,5100.240950006992,1707.0338787759968
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d32768 (c2),27.143284017230226,1.712850694897353,20.111130047683222,5.2653137450556695,60.666666666666664,1.8856180831641267,33.333333333333336,2.8674417556808756,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d32768 (c5),1958.3809811058945,0.6866617948585942,858.2717820902948,514.5029367941901,,,,,50945.93724000151,23395.036512533447,50944.08873999296,23395.036512533447,51073.37414666738,23396.7570333317
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d32768 (c5),8.843094161822428,0.07260610712821836,6.885621169892571,7.089188758712284,91.0,6.164414002968976,26.6,4.909854037205859,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d32768 (c5),619.5748101388272,4.376354147589349,260.9634123830715,170.54672787792353,,,,,10616.708433331223,4604.907029844503,10614.859933322685,4604.907029844503,10616.708433331223,4604.907029844503
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d32768 (c5),28.973296247935824,1.1873003144841112,11.042551965607716,3.8293001141576357,97.0,5.715476066494082,26.866666666666667,3.612324582438417,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d32768 (c10),1947.3323469612897,1.794167843133601,553.3849161106461,474.72207160672673,,,,,93151.51693333562,48158.51539865385,93149.66843332704,48158.51539865384,93215.2074733361,48103.277990427785
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d32768 (c10),6.696315288467137,0.582361262047508,3.9794486692617594,6.578537951083515,95.66666666666667,18.354533197248273,15.2,13.297618834463059,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d32768 (c10),620.0857170732843,0.5604601582616849,169.7244729242022,155.08527252736687,,,,,18898.375336668687,9303.192681363911,18896.526836660145,9303.192681363911,19036.25674333501,9443.21169235531
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d32768 (c10),26.713009699367703,3.6624810738475797,6.263000429254938,3.7582257497016505,129.0,12.355835328567093,19.633333333333333,8.300535457962267,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d65535 (c1),1892.993468121361,0.8115911587883937,1892.993468121361,0.8115911587883937,,,,,34622.15393333463,14.846949393907886,34620.30543332609,14.846949393907886,34622.15393333463,14.846949393907886
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d65535 (c1),33.088438807076834,4.40138686382714,33.088438807076834,4.40138686382714,40.22460133289627,1.9146706024090177,40.22460133289627,1.9146706024090177,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d65535 (c1),1288.8114619133023,14.460610442262805,1288.8114619133023,14.460610442262805,,,,,1591.1099666748971,17.869355683497293,1589.2614666663576,17.869355683497293,1591.1099666748971,17.869355683497293
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d65535 (c1),42.59449655943144,6.587190371212549,42.59449655943144,6.587190371212549,51.333333333333336,10.338708279513881,51.333333333333336,10.338708279513881,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d65535 (c2),1891.9845869649919,0.9793690910393803,1398.3379362045137,452.31792492817357,,,,,52345.75336666603,16931.609039380888,52343.90486665749,16931.60903938089,52345.75336666603,16931.609039380888
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d65535 (c2),6.549109805650566,0.037655412115588476,14.626841396503089,11.274250780619335,61.666666666666664,3.299831645537222,39.166666666666664,5.814254514170803,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d65535 (c2),1312.7339496896138,29.38188422609627,950.9763781270949,296.5208716783794,,,,,2385.4959333354295,739.385290502663,2383.6474333268898,739.3852905026629,2385.4959333354295,739.385290502663
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d65535 (c2),35.82017470384492,3.4979767741803287,23.356341390427144,4.547249943221772,62.666666666666664,8.73053390247253,34.333333333333336,5.088112507491249,,,,,,
